count,post_month,price_euro,dist_km,brand,transmission,post_time,year,fuel,model,post_day
115,mai,6500,95000,Opel,Manuelle,12:14,2011,Essence,Corsa,16
116,mai,23000,120000,Mercedes,Automatique,23:01,2010,Diesel,Classe E,15
117,mai,8600,187000,Volkswagen,Manuelle,22:49,2008,Diesel,Touran,15
118,mai,3300,155000,Mercedes,Automatique,22:31,2003,Diesel,Classe A,15
119,mai,7700,100100,Volkswagen,Manuelle,20:49,2006,Diesel,Passat,15
120,mai,10800,49050,Toyota,Manuelle,10:22,2008,Diesel,Verso,15
121,mai,3000,209000,Renault,Manuelle,09:31,2006,Diesel,Laguna,15
122,mai,9590,124900,Citroen,Manuelle,15:07,2010,Diesel,Ds3,14
123,mai,2990,189000,Citroen,Manuelle,04:18,2006,Essence,C4,14
124,mai,1200,338000,Citroen,Manuelle,17:47,1998,Diesel,Xantia,13
125,mai,8900,40300,Peugeot,Manuelle,14:44,2011,Diesel,207,13
126,mai,7000,190000,unkown,Manuelle,11:43,2011,Diesel,unknown,13
127,mai,1200,13800,Peugeot,Manuelle,13:23,1997,Essence,106,12
128,mai,1000,220000,Opel,Manuelle,15:44,2002,Essence,Zafira,11
129,mai,6200,161106,Volkswagen,Manuelle,12:20,2008,Diesel,Golf,11
130,mai,1200,197000,Peugeot,Manuelle,21:57,2000,Essence,206,10
131,mai,2500,85000,Fiat,Manuelle,21:37,2007,Essence,Punto,10
132,mai,18999,44000,Audi,Manuelle,21:00,2013,Diesel,A1,10
133,mai,15990,4537,Renault,Manuelle,15:00,2014,Diesel,Megane,10
134,mai,650,190000,Peugeot,Manuelle,14:26,1999,Essence,306,10
135,mai,6300,160000,Peugeot,Automatique,13:23,2006,Diesel,407,10
136,mai,14000,58000,Mini,Manuelle,12:17,2010,Essence,Mini Cabriolet,10
137,mai,8190,156950,Volkswagen,Manuelle,11:54,2009,Diesel,Touran,10
138,mai,2995,155000,Citroen,Manuelle,11:12,2008,Diesel,C3,10
139,mai,10,178500,Audi,Manuelle,20:16,2001,Essence,A3,9
140,mai,1500,267500,Citroen,Automatique,08:33,2003,Diesel,C5,9
141,mai,500,170000,Citroen,Manuelle,22:16,2000,Diesel,Xsara,6
142,mai,1000,247000,Renault,Manuelle,21:17,2000,Essence,unknown,6
143,mai,5490,159000,Hyundai,Manuelle,19:58,2008,Diesel,I30,6
144,mai,180,219000,Renault,Manuelle,18:21,2000,Essence,Clio,6
145,mai,4900,59000,Chrysler,Manuelle,16:37,1999,Essence,Stratus,6
146,mai,9900,82000,Volkswagen,Manuelle,10:55,2009,Diesel,Golf,6
147,mai,22000,63000,Audi,Manuelle,14:47,2013,Diesel,unknown,5
148,mai,1300,138767,Volkswagen,Manuelle,14:00,2006,Essence,Fox,5
149,mai,1500,215767,Rover,Manuelle,09:45,2004,Diesel,75,5
150,mai,5900,135000,Mini,Manuelle,20:25,2004,Essence,Mini,4
151,mai,1600,206000,Ford,Manuelle,13:00,2000,Diesel,unknown,4
152,mai,600,190000,Peugeot,Manuelle,12:36,1995,Essence,306,4
